rank         lambda         numIter         numPartitions         train_RMSE         val_RMSE         duration
 3           0.800            10                 5                 1.23228           1.28498             9
 3           0.800            10                 7                 1.24733           1.30927             9
 3           0.800            10                 9                 1.23554           1.29059             9
 3           0.800            15                 2                 1.23296           1.28596            12
 3           0.800            15                 3                 1.23321           1.28604            11
 3           0.800            15                 4                 1.24992           1.31326            10
 3           0.800            15                 5                 1.23443           1.28866             9
 3           0.800            15                 7                 1.23100           1.28180             9
 3           0.800            15                 9                 1.23334           1.28645             9
 3           0.800            20                 2                 1.23039           1.28068            13
 3           0.800            20                 3                 1.23010           1.28031            11
 3           0.800            20                 4                 1.23261           1.28432            10
 3           0.800            20                 5                 1.23092           1.28202            10
 3           0.800            20                 7                 1.23027           1.28048            10
 3           0.800            20                 9                 1.23048           1.28083            10
 4           0.010            10                 2                 0.74738           1.37882            12
 4           0.010            10                 3                 0.76781           1.47993            10
 4           0.010            10                 4                 0.73892           1.35105             9
 4           0.010            10                 5                 0.74393           1.37058             9
 4           0.010            10                 7                 0.74493           1.39530             9
 4           0.010            10                 9                 0.75116           1.41588             9
 4           0.010            15                 2                 0.73160           1.40988            13
 4           0.010            15                 3                 0.73527           1.41715            11
 4           0.010            15                 4                 0.73877           1.42978            10
 4           0.010            15                 5                 0.73159           1.41372            10
 4           0.010            15                 7                 0.72820           1.40861             9
 4           0.010            15                 9                 0.74069           1.46358             9
 4           0.010            20                 2                 0.72281           1.42365            13
 4           0.010            20                 3                 0.72053           1.41871            11
 4           0.010            20                 4                 0.71836           1.41978            11
 4           0.010            20                 5                 0.71864           1.41822            10
 4           0.010            20                 7                 0.72164           1.43013            10
 4           0.010            20                 9                 0.72797           1.44880            10
 4           0.020            10                 2                 0.75297           1.33940            12
 4           0.020            10                 3                 0.73668           1.27968            10
 4           0.020            10                 4                 0.74464           1.30357             9
 4           0.020            10                 5                 0.73949           1.28836             9
 4           0.020            10                 7                 0.73445           1.27997             9
 4           0.020            10                 9                 0.73734           1.28639             9
 4           0.020            15                 2                 0.73012           1.32790            12
 4           0.020            15                 3                 0.73401           1.33133            11
 4           0.020            15                 4                 0.73046           1.32712            10
 4           0.020            15                 5                 0.72715           1.30701             9
 4           0.020            15                 7                 0.73012           1.31409            10
 4           0.020            15                 9                 0.73253           1.33150             9
 4           0.020            20                 2                 0.72078           1.31741            13
 4           0.020            20                 3                 0.72269           1.31578            11
 4           0.020            20                 4                 0.72237           1.31730            10
 4           0.020            20                 5                 0.72538           1.32731            10
 4           0.020            20                 7                 0.72688           1.32679            10
 4           0.020            20                 9                 0.72569           1.32729            10
 4           0.040            10                 2                 0.75019           1.23024            12
 4           0.040            10                 3                 0.74475           1.22308            10
 4           0.040            10                 4                 0.75196           1.24434            10
 4           0.040            10                 5                 0.74662           1.21971             9
 4           0.040            10                 7                 0.75025           1.22746             9
 4           0.040            10                 9                 0.74886           1.23196             9
 4           0.040            15                 2                 0.74007           1.23065            13
 4           0.040            15                 3                 0.74339           1.24883            11
 4           0.040            15                 4                 0.73345           1.21607            10
 4           0.040            15                 5                 0.73757           1.23046             9
 4           0.040            15                 7                 0.73472           1.22978            10
 4           0.040            15                 9                 0.73762           1.23191             9
 4           0.040            20                 2                 0.73261           1.22967            13
 4           0.040            20                 3                 0.73162           1.23302            11
 4           0.040            20                 4                 0.72420           1.21472            11
 4           0.040            20                 5                 0.73306           1.23120            10
 4           0.040            20                 7                 0.73873           1.24356            10
 4           0.040            20                 9                 0.73011           1.22005            10
 4           0.080            10                 2                 0.76593           1.15893            12
 4           0.080            10                 3                 0.76466           1.14793            10
 4           0.080            10                 4                 0.76877           1.16154             9
 4           0.080            10                 5                 0.76034           1.13963             9
 4           0.080            10                 7                 0.76942           1.16297             9
 4           0.080            10                 9                 0.76202           1.14736             9
 4           0.080            15                 2                 0.75329           1.14206            12
 4           0.080            15                 3                 0.75462           1.14480            11
 4           0.080            15                 4                 0.75351           1.14554            10
 4           0.080            15                 5                 0.76064           1.16035             9
 4           0.080            15                 7                 0.75512           1.14414             9
 4           0.080            15                 9                 0.75587           1.14976             9
 4           0.080            20                 2                 0.74834           1.14156            13
 4           0.080            20                 3                 0.75047           1.14689            11
 4           0.080            20                 4                 0.74863           1.14317            10
 4           0.080            20                 5                 0.75067           1.14688            10
 4           0.080            20                 7                 0.75365           1.15360            10
 4           0.080            20                 9                 0.75024           1.14684            10
 4           0.100            10                 2                 0.79271           1.17211            12
 4           0.100            10                 3                 0.78290           1.15056            10
 4           0.100            10                 4                 0.78373           1.14826             9
 4           0.100            10                 5                 0.77712           1.13754             9
 4           0.100            10                 7                 0.77650           1.13189             9
 4           0.100            10                 9                 0.78311           1.14490             9
 4           0.100            15                 2                 0.76677           1.12840            12
 4           0.100            15                 3                 0.78238           1.16070            11
 4           0.100            15                 4                 0.76564           1.12441            10
 4           0.100            15                 5                 0.77041           1.13005            10
 4           0.100            15                 7                 0.76564           1.12560             9
 4           0.100            15                 9                 0.76457           1.12263             9
 4           0.100            20                 2                 0.76154           1.12221            13
 4           0.100            20                 3                 0.76115           1.12142            11
 4           0.100            20                 4                 0.76105           1.12244            10
 4           0.100            20                 5                 0.76414           1.12419            10
 4           0.100            20                 7                 0.76573           1.12947            10
 4           0.100            20                 9                 0.76040           1.12340            10
 4           0.200            10                 2                 0.84436           1.07647            12
 4           0.200            10                 3                 0.84414           1.07244            10
 4           0.200            10                 4                 0.84835           1.08244             9
 4           0.200            10                 5                 0.84274           1.07146             9
 4           0.200            10                 7                 0.84721           1.08246             9
 4           0.200            10                 9                 0.84459           1.07111             9
 4           0.200            15                 2                 0.83676           1.06624            12
 4           0.200            15                 3                 0.83573           1.06399            11
 4           0.200            15                 4                 0.83562           1.06617            10
 4           0.200            15                 5                 0.83682           1.06631             9
 4           0.200            15                 7                 0.83823           1.07100            10
 4           0.200            15                 9                 0.84250           1.08046             9
 4           0.200            20                 2                 0.83463           1.06692            13
 4           0.200            20                 3                 0.83387           1.06643            11
 4           0.200            20                 4                 0.83504           1.06827            10
 4           0.200            20                 5                 0.83488           1.06948            10
 4           0.200            20                 7                 0.83454           1.06978            10
 4           0.200            20                 9                 0.83572           1.07207            10
 4           0.400            10                 2                 1.00039           1.11187            12
 4           0.400            10                 3                 0.99589           1.08898            10
 4           0.400            10                 4                 0.99766           1.10019             9
 4           0.400            10                 5                 0.99741           1.09798             9
 4           0.400            10                 7                 0.99689           1.09408             9
 4           0.400            10                 9                 1.00011           1.10857             9
 4           0.400            15                 2                 0.99486           1.09376            13
 4           0.400            15                 3                 0.99470           1.08931            11
 4           0.400            15                 4                 0.99444           1.09251            10
 4           0.400            15                 5                 0.99468           1.08595            10
 4           0.400            15                 7                 0.99596           1.08643            10
 4           0.400            15                 9                 0.99480           1.08848             9
 4           0.400            20                 2                 0.99360           1.08687            13
 4           0.400            20                 3                 0.99349           1.08773            11
 4           0.400            20                 4                 0.99383           1.08709            10
 4           0.400            20                 5                 0.99428           1.08559            10
 4           0.400            20                 7                 0.99409           1.08738            10
 4           0.400            20                 9                 0.99439           1.08579            10
 4           0.800            10                 2                 1.23120           1.28300            12
 4           0.800            10                 3                 1.23464           1.28926            10
 4           0.800            10                 4                 1.23776           1.29420             9
 4           0.800            10                 5                 1.23654           1.29282             9
 4           0.800            10                 7                 1.23696           1.29229             9
 4           0.800            10                 9                 1.23860           1.29562             9
 4           0.800            15                 2                 1.23313           1.28592            13
 4           0.800            15                 3                 1.23581           1.29050            11
 4           0.800            15                 4                 1.23167           1.28402            10
 4           0.800            15                 5                 1.23718           1.29430             9
 4           0.800            15                 7                 1.23116           1.28223             9
 4           0.800            15                 9                 1.23729           1.29269            10
 4           0.800            20                 2                 1.23056           1.28112            13
 4           0.800            20                 3                 1.23088           1.28198            11
 4           0.800            20                 4                 1.23212           1.28391            11
 4           0.800            20                 5                 1.23264           1.28512            10
 4           0.800            20                 7                 1.23020           1.28071            10
 4           0.800            20                 9                 1.23030           1.28064            10
 5           0.010            10                 2                 0.68921           1.43524            12
 5           0.010            10                 3                 0.69045           1.45262            11
 5           0.010            10                 4                 0.69827           1.47541             9
 5           0.010            10                 5                 0.69354           1.44992             9
